Sample_Project	Sample_Name	Sample_UUID	Sample_in_S3	Output_in_S3
CHOP	L04608	24c4b32a-25ad-4900-adf3-a71f50e5bf4f	y	n
CHOP	L04610	62ca4c72-8a51-4d79-a169-f30a3fca1bad	y	n
CHOP	L04611	fbe2e26f-ca4f-42fd-a29e-0e1e36fdebe4	y	n
CHOP	L04612	578c3883-b508-44a2-8b21-8eca6a8bafdb	y	n
CHOP	L04613	7dbadcc6-c987-4fa2-87eb-e7899f51cf76	y	n
CHOP	L04615	98d1b689-81c8-4ddf-bd95-641e23006375	y	n
CHOP	L05126	10a58066-d69b-4edf-8a88-bbbf8b91592b	y	n
